stemID           length           xCoordinate      yCoordinate      radians         
120              120.00           0.00             0.00             1.57            
121              104.35           0.00             120.00           2.09            
122              100.00           0.00             120.00           1.57            
123              104.35           0.00             120.00           1.05            
124              78.90            -52.17           210.37           2.62            
125              72.46            -52.17           210.37           2.09            
126              78.90            -52.17           210.37           1.57            
127              75.61            0.00             220.00           2.09            
128              69.44            0.00             220.00           1.57            
129              75.61            0.00             220.00           1.05            
130              78.90            52.17            210.37           1.57            
131              72.46            52.17            210.37           1.05            
132              78.90            52.17            210.37           0.52            
133              51.88            -120.51          249.82           3.14            
134              45.66            -120.51          249.82           2.62            
135              51.88            -120.51          249.82           2.09            
136              47.65            -88.41           273.12           2.62            
137              41.94            -88.41           273.12           2.09            
138              47.65            -88.41           273.12           1.57            
139              51.88            -52.17           289.27           2.09            
140              45.66            -52.17           289.27           1.57            
141              51.88            -52.17           289.27           1.05            
142              49.72            -37.81           285.48           2.62            
143              43.76            -37.81           285.48           2.09            
144              49.72            -37.81           285.48           1.57            
145              45.66            0.00             289.44           2.09            
146              40.19            0.00             289.44           1.57            
147              45.66            0.00             289.44           1.05            
148              49.72            37.81            285.48           1.57            
149              43.76            37.81            285.48           1.05            
150              49.72            37.81            285.48           0.52            
151              51.88            52.17            289.27           2.09            
152              45.66            52.17            289.27           1.57            
153              51.88            52.17            289.27           1.05            
154              47.65            88.41            273.12           1.57            
155              41.94            88.41            273.12           1.05            
156              47.65            88.41            273.12           0.52            
157              51.88            120.51           249.82           1.05            
158              45.66            120.51           249.82           0.52            
159              51.88            120.51           249.82           0.00            
160              29.66            -172.38          249.82           3.67            
161              25.02            -172.38          249.82           3.14            
162              29.66            -172.38          249.82           2.62            
163              26.11            -160.05          272.65           3.14            
164              22.02            -160.05          272.65           2.62            
165              26.11            -160.05          272.65           2.09            
166              29.66            -146.44          294.75           2.62            
167              25.02            -146.44          294.75           2.09            
168              29.66            -146.44          294.75           1.57            
169              27.24            -129.67          296.95           3.14            
170              22.98            -129.67          296.95           2.62            
171              27.24            -129.67          296.95           2.09            
172              23.98            -109.37          309.44           2.62            
173              20.22            -109.37          309.44           2.09            
174              23.98            -109.37          309.44           1.57            
175              27.24            -88.41           320.77           2.09            
176              22.98            -88.41           320.77           1.57            
177              27.24            -88.41           320.77           1.05            
178              29.66            -78.11           334.20           2.62            
179              25.02            -78.11           334.20           2.09            
180              29.66            -78.11           334.20           1.57            
181              26.11            -52.17           334.93           2.09            
182              22.02            -52.17           334.93           1.57            
183              26.11            -52.17           334.93           1.05            
184              29.66            -26.23           334.20           1.57            
185              25.02            -26.23           334.20           1.05            
186              29.66            -26.23           334.20           0.52            
187              28.43            -80.86           310.34           3.14            
188              23.98            -80.86           310.34           2.62            
189              28.43            -80.86           310.34           2.09            
190              25.02            -59.69           323.38           2.62            
191              21.10            -59.69           323.38           2.09            
192              25.02            -59.69           323.38           1.57            
193              28.43            -37.81           335.20           2.09            
194              23.98            -37.81           335.20           1.57            
195              28.43            -37.81           335.20           1.05            
196              26.11            -22.83           328.99           2.62            
197              22.02            -22.83           328.99           2.09            
198              26.11            -22.83           328.99           1.57            
199              22.98            0.00             329.63           2.09            
200              19.38            0.00             329.63           1.57            
201              22.98            0.00             329.63           1.05            
202              26.11            22.83            328.99           1.57            
203              22.02            22.83            328.99           1.05            
204              26.11            22.83            328.99           0.52            
205              28.43            37.81            335.20           2.09            
206              23.98            37.81            335.20           1.57            
207              28.43            37.81            335.20           1.05            
208              25.02            59.69            323.38           1.57            
209              21.10            59.69            323.38           1.05            
210              25.02            59.69            323.38           0.52            
211              28.43            80.86            310.34           1.05            
212              23.98            80.86            310.34           0.52            
213              28.43            80.86            310.34           0.00            
214              29.66            26.23            334.20           2.62            
215              25.02            26.23            334.20           2.09            
216              29.66            26.23            334.20           1.57            
217              26.11            52.17            334.93           2.09            
218              22.02            52.17            334.93           1.57            
219              26.11            52.17            334.93           1.05            
220              29.66            78.11            334.20           1.57            
221              25.02            78.11            334.20           1.05            
222              29.66            78.11            334.20           0.52            
223              27.24            88.41            320.77           2.09            
224              22.98            88.41            320.77           1.57            
225              27.24            88.41            320.77           1.05            
226              23.98            109.37           309.44           1.57            
227              20.22            109.37           309.44           1.05            
228              23.98            109.37           309.44           0.52            
229              27.24            129.67           296.95           1.05            
230              22.98            129.67           296.95           0.52            
231              27.24            129.67           296.95           0.00            
232              29.66            146.44           294.75           1.57            
233              25.02            146.44           294.75           1.05            
234              29.66            146.44           294.75           0.52            
235              26.11            160.05           272.65           1.05            
236              22.02            160.05           272.65           0.52            
237              26.11            160.05           272.65           0.00            
238              29.66            172.38           249.82           0.52            
239              25.02            172.38           249.82           0.00            
240              29.66            172.38           249.82           -0.52           
241              16.96            -198.07          234.99           4.19            
242              11.92            -198.07          234.99           3.67            
243              14.75            -198.07          234.99           3.14            
244              12.44            -197.40          249.82           3.67            
245              10.05            -197.40          249.82           3.14            
246              12.44            -197.40          249.82           2.62            
247              14.75            -198.07          264.65           3.14            
248              11.92            -198.07          264.65           2.62            
249              14.75            -198.07          264.65           2.09            
250              12.98            -186.16          272.65           3.67            
251              10.49            -186.16          272.65           3.14            
252              12.98            -186.16          272.65           2.62            
253              10.95            -179.12          283.66           3.14            
254              8.85             -179.12          283.66           2.62            
